date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:56:32	2433/2433	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/demographie/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/demographie/feed/index.html	(from http://www.xaviercochet.fr/tag/demographie/)
05:56:32	51146/51146	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:29%20GMT	http://www.xaviercochet.fr/nos-6-priorites-pour-la-mandature-2014-2020/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/nos-6-priorites-pour-la-mandature-2014-2020/indexfb4f.html	(from http://www.xaviercochet.fr/nos-6-priorites-pour-la-mandature-2014-2020/?shared=email%26msg=fail)
05:56:36	69120/69120	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:30%20GMT	http://www.xaviercochet.fr/tag/elections-municipales/page/2/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/elections-municipales/page/2/index.html	(from http://www.xaviercochet.fr/tag/elections-municipales/)
05:56:36	47021/47021	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:32%20GMT	http://www.xaviercochet.fr/tag/elections-municipales/page/3/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/elections-municipales/page/3/index.html	(from http://www.xaviercochet.fr/tag/elections-municipales/)
05:56:37	15213/15213	---MC-	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/elections-municipales/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/elections-municipales/feed/index.html	(from http://www.xaviercochet.fr/tag/elections-municipales/)
05:56:37	3982/3982	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/municipales-2014-2/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/municipales-2014-2/feed/index.html	(from http://www.xaviercochet.fr/tag/municipales-2014-2/)
05:56:37	2478/2478	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/revenu-fiscal-moyen-des-samiellois/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/revenu-fiscal-moyen-des-samiellois/feed/index.html	(from http://www.xaviercochet.fr/tag/revenu-fiscal-moyen-des-samiellois/)
05:56:41	2321/2321	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/adolescents/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/adolescents/feed/index.html	(from http://www.xaviercochet.fr/tag/adolescents/)
05:56:41	49466/49466	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:37%20GMT	http://www.xaviercochet.fr/video-un-constat-alarmant-sur-la-ville-de-saint-mihiel/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/video-un-constat-alarmant-sur-la-ville-de-saint-mihiel/indexfb4f.html	(from http://www.xaviercochet.fr/video-un-constat-alarmant-sur-la-ville-de-saint-mihiel/?shared=email%26msg=fail)
05:56:41	48347/48347	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:38%20GMT	http://www.xaviercochet.fr/video-xavier-cochet-presente-lequipe-de-pour-reveiller-saint-mihiel/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/video-xavier-cochet-presente-lequipe-de-pour-reveiller-saint-mihiel/indexfb4f.html	(from http://www.xaviercochet.fr/video-xavier-cochet-presente-lequipe-de-pour-reveiller-saint-mihiel/?shared=email%26msg=fail)
